week,Proportion,Variant
2021/6/6,0.242,Others
2021/6/13,0.207,Others
2021/6/20,0.192,Others
2021/6/27,0.15,Others
2021/7/4,0.138,Others
2021/7/11,0.135,Others
2021/7/18,0.092,Others
2021/7/25,0.047,Others
2021/8/1,0.052,Others
2021/8/8,0.048,Others
2021/8/15,0.027,Others
2021/8/22,0.025,Others
2021/8/29,0.006,Others
2021/9/5,0.004,Others
2021/9/12,0.002,Others
2021/9/19,0.002,Others
2021/9/26,0,Others
2021/10/3,0.001,Others
2021/10/10,0.001,Others
2021/10/17,0,Others
2021/10/24,0.002,Others
2021/10/31,0,Others
2021/11/7,0.001,Others
2021/11/14,0,Others
2021/11/21,0.005,Others
2021/11/28,0,Others
2021/12/5,0,Others
2021/12/12,0.001,Others
2021/12/19,0,Others
2021/12/26,0.001,Others
2022/1/2,0.003,Others
2022/1/9,0.001,Others
2022/1/16,0,Others
2022/1/23,0.008,Others
2022/1/30,0,Others
2022/2/6,0,Others
2022/2/13,0,Others
